order_id,customer_id,order_date,quantity,unit_price,branch_id
ORD-1000,CUST-151,2026-01-01 00:00:00,7,397.14,BR-2
ORD-1001,CUST-192,2026-01-01 01:00:00,4,21.28,BR-2
ORD-1002,CUST-114,2026-01-01 02:00:00,1,329.17,BR-4
ORD-1003,CUST-171,2026-01-01 03:00:00,5,387.91,BR-3
ORD-1004,CUST-160,2026-01-01 04:00:00,7,193.47,BR-4
ORD-1005,CUST-120,2026-01-01 05:00:00,6,43.77,BR-1
ORD-1006,CUST-182,2026-01-01 06:00:00,5,47.89,BR-1
ORD-1007,CUST-186,2026-01-01 07:00:00,4,61.08,BR-1
ORD-1008,CUST-174,2026-01-01 08:00:00,2,421.82,BR-3
ORD-1009,CUST-174,2026-01-01 09:00:00,4,456.24,BR-2
,CUST-187,2026-01-01 10:00:00,3,70.18,BR-3
,CUST-199,2026-01-01 11:00:00,1,125.59,BR-3
,CUST-123,2026-01-01 12:00:00,8,91.11,BR-2
,CUST-102,2026-01-01 13:00:00,5,101.3,BR-4
,CUST-121,2026-01-01 14:00:00,4,420.37,BR-1
,CUST-152,2026-01-01 15:00:00,8,172.75,BR-4
ORD-1016,CUST-101,2026-01-01 16:00:00,7,162.61,BR-1
ORD-1017,CUST-187,2026-01-01 17:00:00,2,121.42,BR-3
ORD-1018,CUST-129,2026-01-01 18:00:00,1,307.87,BR-1
ORD-1019,CUST-137,2026-01-01 19:00:00,4,195.86,BR-3
ORD-1020,CUST-101,2026-01-01 20:00:00,8,,BR-4
ORD-1021,CUST-163,2026-01-01 21:00:00,2,,BR-3
ORD-1022,CUST-159,2026-01-01 22:00:00,3,,BR-4
ORD-1023,CUST-120,2026-01-01 23:00:00,1,,BR-2
ORD-1024,CUST-132,2026-01-02 00:00:00,1,,BR-2
ORD-1025,CUST-175,2026-01-02 01:00:00,3,,BR-2
ORD-1026,CUST-157,2026-01-02 02:00:00,5,433.12,BR-3
ORD-1027,CUST-121,2026-01-02 03:00:00,3,462.25,BR-2
ORD-1028,CUST-188,2026-01-02 04:00:00,1,238.19,BR-1
ORD-1029,CUST-148,2026-01-02 05:00:00,1,245.61,BR-4
ORD-1030,CUST-190,2026-01-02 06:00:00,8,460.04,BR-4
ORD-1031,CUST-158,2026-01-02 07:00:00,2,297.66,BR-1
ORD-1032,CUST-141,2026-01-02 08:00:00,3,26.09,BR-3
ORD-1033,CUST-191,2026-01-02 09:00:00,2,457.25,BR-3
ORD-1034,CUST-159,2026-01-02 10:00:00,3,131.63,BR-4
ORD-1035,CUST-179,2026-01-02 11:00:00,7,293.04,BR-2
ORD-1036,CUST-114,2026-01-02 12:00:00,1,91.1,BR-3
ORD-1037,CUST-161,2026-01-02 13:00:00,8,26.6,BR-3
ORD-1038,CUST-161,2026-01-02 14:00:00,2,162.62,BR-1
ORD-1039,CUST-146,2026-01-02 15:00:00,3,392.44,BR-1
ORD-1040,CUST-161,2026-01-02 16:00:00,9,146.02,BR-2
ORD-1041,CUST-150,2026-01-02 17:00:00,7,117.85,BR-3
ORD-1042,CUST-154,2026-01-02 18:00:00,4,114.21,BR-3
ORD-1043,CUST-163,2026-01-02 19:00:00,5,262.44,BR-1
ORD-1044,CUST-102,2026-01-02 20:00:00,2,488.02,BR-3
ORD-1045,CUST-150,2026-01-02 21:00:00,8,234.9,BR-4
